"Reference","Qty","MPN","M","Description"
"C1,C2","2","GCM32ER71H475KA55K","Murata","4.7 µF ±10% 50V Ceramic Capacitor X7R 1210 (3225 Metric)"
"C3,C4,C9,C10","4","TMK325ABJ476MM-P","TAIYO YUDEN","47 µF ±20% 25V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C5","1","GCM31C5C1H104FA16L","Murata","0.1 µF ±1% 50V Ceramic Capacitor C0G, NP0 1206 (3216 Metric)"
"C6","1","GCM1885C2A270FA16D","Murata","27 pF ±1% 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"C7,C8","2","GCM21BR71H105KA03L","Murata","1 µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C11","1","T521V226M025ATE040","KEMET","22 µF Molded Tantalum Polymer Capacitor 25 V 2917 (7343 Metric) 40mOhm @ 100kHz"
"H1,H2,NT1,NT2","4","","","Mounting Hole with connection,Net tie, 2 pins"
"J1","1","LSHM-140-04.0-L-DV-A-N-K-TR","Samtec","80 Position Connector Self Mating, Non-Gendered, Hermaphroditic Surface Mount Gold"
"L1","1","XGL5030-102MEC","Coilcraft","1 µH Shielded Molded Inductor 17.8 A 5.8mOhm Max Nonstandard"
"R1","1","CRCW060310K0FKEA","Vishay","10 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R2","1","CRCW06031K78FKEA","Vishay","1.78 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R3","1","CRCW06031K00FKEA","Vishay","1 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R4","1","CRCW060333K2FKEA","Vishay","33.2 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R5","1","CRCW060347K5FKEA","Vishay","47.5 kOhms ±1% 0.125W, 1/8W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200 Thick Film"
"R7","1","RCWE0603R500FKEA","Vishay","500 mOhms ±1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Current Sense, Moisture Resistant Thick Film"
"U1","1","LT8627SPJV#TRPBF","Analog","Buck Switching Regulator IC Positive Adjustable 1 Output 16A 24-TFQFN Exposed Pad"
